DATA;HORARIO;MANDANTE;RESULTADO;VISITANTE; PUBLICO ;LOCAL
04/08/2024;17:00;Internacional;1X1;Palmeiras; 20.794 ;Estadio Jose Pinheiro Borba
03/08/2024;21:30;Sao Paulo;1X0;Flamengo; 58.065 ;Estadio do Morumbi
05/08/2024;21:00;Cruzeiro;1X2;Fortaleza; 20 ;Estadio Kleber Jose de Andrade
10/08/2024;16:00;Fortaleza;1X0;Criciuma; 40.311 ;Estadio Castelao
10/08/2024;18:00 (19:00);Cuiaba;1X3;Gremio; 9.853 ;Arena Pantanal
11/08/2024;11:00;Juventude;3X2;Botafogo (RJ); 5.288 ;Estadio Alfredo Jaconi
11/08/2024;16:00;Sao Paulo;1X0;Atl Goianiense; 466 ;Estadio do Morumbi
11/08/2024;16:00;Flamengo;1X1;Palmeiras; 55.051 ;Estadio Jornalista Mario Filho
11/08/2024;16:00;Bahia;2X0;Vitoria; 45.972 ;Itaipava Arena Fonte Nova
11/08/2024;19:00;Internacional;2X2;Ath Paranaense; 17.136 ;Estadio Jose Pinheiro Borba
10/08/2024;21:30;Cruzeiro;0X0;Atletico Mineiro; 61.583 ;Estadio Governador Magalhaes  Pinto
10/08/2024;21:30;Corinthians;1X1;RB Bragantino; 42.018 ;Neo Quimica Arena
10/08/2024;21:30;Vasco da Gama;2X0;Fluminense; 20.003 ;Estadio Nilton Santos
14/08/2024;19:30;Internacional;2X1;Juventude; 1.192 ;Estadio Jose Pinheiro Borba
17/08/2024;16:00;Atletico Mineiro;1X1;Cuiaba; 3.629 ;Arena MRV
17/08/2024;16:00;Gremio;0X2;Bahia; 56.102 ;Estadio Alfredo Jaconi
17/08/2024;18:30;RB Bragantino;1X2;Fortaleza; 3.928 ;Estadio Nabi Abi Chedid
18/08/2024;16:00;Criciuma;2X2;Vasco da Gama; 18.403 ;Estadio Heriberto Hulse
18/08/2024;16:00;Palmeiras;2X1;Sao Paulo; 37.244 ;Allianz Parque
18/08/2024;16:00;Atl Goianiense;1X0;Internacional; 546 ;Estadio Antonio Accioly
18/08/2024;18:30;Ath Paranaense;1X2;Juventude; 22.926 ;Ligga Arena
18/08/2024;18:30;Botafogo (RJ);4X1;Flamengo; 23.731 ;Estadio Nilton Santos
17/08/2024;21:00;Fluminense;0X0;Corinthians; 30.475 ;Estadio Jornalista Mario Filho
19/08/2024;20:00;Vitoria;2X2;Cruzeiro; 17.062 ;Estadio Manoel Barradas
24/08/2024;16:00;Atl Goianiense;2X1;Juventude; 4.407 ;Estadio Antonio Accioly
24/08/2024;18:30;Palmeiras;5X0;Cuiaba; 30.956 ;Estadio Brinco de Ouro da Princesa
25/08/2024;16:00;Criciuma;0X1;Gremio; 17.377 ;Estadio Heriberto Hulse
25/08/2024;16:00;Bahia;0X0;Botafogo (RJ); 40.198 ;Itaipava Arena Fonte Nova
25/08/2024;16:00;Fortaleza;1X0;Corinthians; 51.297 ;Estadio Castelao
25/08/2024;18:30;Sao Paulo;2X1;Vitoria; 32.712 ;Estadio do Morumbi
25/08/2024;19:00;Internacional;1X0;Cruzeiro; 26.634 ;Estadio Jose Pinheiro Borba
25/08/2024;20:00;Flamengo;2X1;RB Bragantino; 28.159 ;Estadio Jornalista Mario Filho
24/08/2024;21:00;Atletico Mineiro;0X2;Fluminense; 32.068 ;Estadio Governador Magalhaes  Pinto
26/08/2024;21:00;Vasco da Gama;2X1;Ath Paranaense; 16.433 ;Estadio Club de Regatas Vasco da Gama
28/08/2024;19:30;Cruzeiro;0X0;Internacional; 35.238 ;Estadio Governador Magalhaes  Pinto
28/08/2024;19:30;Criciuma;1X0;RB Bragantino; 11.849 ;Estadio Heriberto Hulse
31/08/2024;17:30 (18:30);Cuiaba;2X1;Criciuma; 4.095 ;Arena Pantanal
01/09/2024;11:00;Cruzeiro;3X1;Atl Goianiense; 50 ;Estadio Governador Magalhaes  Pinto
01/09/2024;11:00;Gremio;2X3;Atletico Mineiro; 27.442 ;Arena do Gremio
